Company,NET Income,Operating Income,Total Assets,Number of Employees,Buyers
REZ,3487,7774,31925,1274,[DLW;JDY]
AWE,602,801,3967,65,[JDY;PVA;EJC]
JOJ,2216,4064,17785,559,[EJC;KBE;EET;BCV]
FYV,1480,2375,10910,277,[BCV;TME]
OQA,3095,6522,27257,1023,[TME;NQU;CAA;QFX]
YJF,4709,12289,48229,2233,[QFX;PNA]
UTR,3973,9458,38091,1623,[PNA;MLB;GOR;LGT;NJH;HMW]
DLW,1088,1613,7640,165,[REZ;HMW;NEY;KCA]
ZVJ,4851,12874,50296,2361,[KCA;EFP;KXR]
IOO,1966,3452,15341,452,[KXR;QTO;FDV;TIS]
RGS,3581,8087,33084,1338,[TIS;FYM]
NQF,2844,5771,24413,877,[FYM;CWO;UGY;OKN;DUU;KPR]
WIK,4459,11289,44676,2015,[KPR;LDG;MFU;GIK;MAM]
GAP,1574,2572,11733,307,[MAM;ODA;IGQ;JTE]
BLB,837,1176,5691,108,[JTE;ICH]
LDG,2452,4676,20193,670,[ICH;FZI;KRK;RNI;GXO;TDL]
HNS,1716,2880,13008,357,[TDL;OGA;DQH]
QFX,3330,7261,30023,1170,[DQH;JME;PEG;EON]
ZXC,4945,13267,51682,2448,[EON;LKK;MXZ;NZN;HDD;NVF]
VIP,4209,10328,41235,1808,[NVF;DIH;JAJ;KOY;ABA]
EAT,1323,2058,9568,229,[ABA;FTC]
OSY,2938,6048,25464,930,[FTC;LLD;BZF;OFC]
JCL,2202,4028,17644,553,[OFC;BVX]
TUQ,3816,8898,36054,1506,[BVX;YSY;DKA;KGX;ZQE;NVB]
OFC,3080,6476,27084,1014,[NVB;LED]
YXH,4694,12228,48014,2219,[LED;IBF;CFU;IXW;XHD;ECA]
HPM,1809,3088,13864,391,[ECA;FQP;GSD;AVT;GNV]
DZY,1073,1586,7521,161,[GNV;ARK;CTZ;PZV;JCL]
MRD,2687,5322,22691,791,[JCL;YMR]
VJI,4302,10681,42503,1884,[YMR;EET;LAR;AKX]
RUV,3566,8037,32898,1328,[AKX;UNN;HTJ;JVY;DZN;JRP]
BMZ,680,922,4529,78,[JRP;GOR;FXT;GKI;VYK]
WWM,4444,11230,44467,2002,[VYK;BQM]
GOR,1559,2540,11601,302,[BQM;HIO;XVQ;YJF]
PGV,3173,6764,28165,1071,[YJF;QTO]
LRI,2437,4637,20037,663,[QTO;TOJ;ZGL]
UJN,4052,9745,39132,1684,[ZGL;GCI;VMO;ISL]
DBS,1166,1757,8270,185,[ISL;VIG]
ZLE,4930,13204,51460,2434,[VIG;SFH;KPR;ETG;TDN;AZK]
IDJ,2045,3641,16101,485,[AZK;BMZ;COO;WSD;CKF]
EOW,1308,2029,9442,224,[CKF;EMT;YPJ;ZDY;FYV]
OGA,2923,6003,25296,921,[FYV;UIC]
XYF,4538,11600,45785,2082,[UIC;AAE;HWB]
TIS,3801,8845,35862,1495,[HWB;WGI;JME;DPU]
CBX,916,1309,6293,125,[DPU;SZA]
LTB,2531,4889,21020,710,[SZA;ZVY;FNA;BLB]
HDO,1794,3054,13725,385,[BLB;ATD]
QVT,3409,7517,30974,1222,[ATD;BGS;DIH;XMW;DEY;XHO]
MGF,2673,5282,22537,783,[XHO;ZKC;ZXR;GTO;VDV]
VYK,4287,10624,42299,1872,[VDV;BVX;HQU;EOW]
FQP,1402,2216,10237,252,[EOW;REQ]
AAC,666,900,4427,76,[REQ;EJN;TTU;APR;GHT;CFU]
KSG,2280,4227,18428,588,[CFU;WIK]
TKL,3895,9177,37072,1565,[WIK;CAM]
PVY,3158,6717,27991,1062,[CAM;SOO;YGP]
YNC,4773,12550,49155,2290,[YGP;EYR;UMT;UZI]
UXP,4037,9690,38933,1673,[UZI;ARK]
DPU,1151,1729,8148,181,[ARK;QFM;WXO;QAE]
NHZ,2766,5546,23551,833,[QAE;SCS;FIP;ZLE]
ISL,2030,3605,15956,479,[ZLE;OVL]
SKQ,3644,8302,33872,1383,[OVL;UNN;BJK;QTR]
BCV,759,1047,5108,93,[FYV;QTR;KXG;XCD;ZFR]
XMH,4523,11541,45574,2069,[ZFR;TIH;ZAJ;VYK]
GEM,1637,2707,12296,329,[VYK;UGM]
CPZ,901,1283,6178,122,[UGM;VTB;RZF;XRH;RUX;OSY]
LHE,2516,4848,20863,702,[OSY;GCI]
UZI,4130,10034,40174,1745,[GCI;AGX;PQE;WLB]
